,Symbol,Description
685,CPK,Chesapeake Utilities Corp
686,CPLG,Corepoint Lodging Inc
687,CPRI,Capri Holdings Ltd
688,CPS,Cooper Std Hld Inc
689,CPT,Camden Property Trust
690,CR,Crane Company
691,CRC,California Resources Corp
692,CRD.A,Crawford Co. Cl A
693,CRD.B,Crawford Co. Cl B
694,CRH,CRH Plc
695,CRI,Carter's Inc
696,CRK,Comstock Resources
697,CRL,Charles River Laboratories Intl
698,CRM,Salesforce.com Inc
699,CRS,Carpenter Technology Corp
700,CRT,Cross Timbers Royalty Trust
701,CRY,Cryolife
702,CS,Credit Suisse Group
703,CSL,Carlisle Companies Inc
704,CSLT,Castlight Health Inc
705,CSPR,Casper Sleep Inc
706,CSS,Css Industries
707,CSTM,Constellium N.V.
708,CSU,Capital Senior Living Corp
709,CSV,Carriage Services
710,CTA-A,Du Pont[E.I.]De Nemours & Co. [Cta/Pa]
711,CTA-B,Du Pont[E.I.]De Nemours & Co. [Cta/Pb]
712,CTAA,Qwest Corp
713,CTB,Cooper Tire & Rubber Company
714,CTBB,Qwest Corp
715,CTDD,Qwest Corp 6.75% Notes Due 2057
716,CTK,Cootek [Cayman] Inc
717,CTL,Centurylink
718,CTLT,Catalent Inc
719,CTR,Clearbridge Energy MLP Fund IN
720,CTRA,Contura Energy Inc
721,CTS,Cts Corp
722,CTST,Canntrust Holdings Inc
723,CTT,Catchmark Timber Trust Inc
724,CTV,Qwest Corp
725,CTVA,Corteva Inc
726,CTY,Qwest Corp
727,CTZ,Qwest Corp 6.625% Notes
728,CUB,Cubic Corp
729,CUB-C,Customers Bancorp Inc [Cubi/Pc]
730,CUB-D,Customers Bancorp Inc [Cubi/Pd]
731,CUB-E,Customers Bancorp Inc [Cubi/Pe]
732,CUB-F,Customers Bancorp Inc [Cubi/Pf]
733,CUBB,Customers Bancorp Inc 5.375% Subordinated Notes
734,CUBE,Cubesmart
735,CUBI,Customers Bancorp
736,CUK,Carnival Plc ADR
737,CULP,Culp Inc
738,CURO,Curo Group Holdings Corp
739,CUZ,Cousins Properties Inc
740,CVA,Covanta Holding Corp
741,CVE,Cenovus Energy Inc
742,CVEO,Civeo Corp
743,CVI,Cvr Energy Inc
744,CVIA,Covia Holdings Corp
745,CVNA,Carvana Co. Cl A
746,CVS,CVS Corp
747,CVX,Chevron Corp
748,CW,Curtiss-Wright Corp
749,CWE.A,Clearway Energy Inc Cl A
750,CWEN,Clearway Energy Inc Cl C
751,CWH,Camping World Holdings Inc
752,CWK,Cushman & Wakefield Plc
753,CWT,California Water Service Group Holding
754,CX,Cemex S.A.B. DE C.V.
755,CXE,Colonial High Income Muni Trust
756,CXH,Colonial Investment Grade Muni Trust
757,CXO,Concho Resources Inc
758,CXP,Columbia Property Trust Inc
759,CXW,Corecivic Inc
760,CYD,China Yuchai International
761,CYH,Community Health Systems
762,CZZ,Cosan Ltd
763,D,Dominion Resources
764,DAC,Danaos Corp
765,DAL,Delta Air Lines Inc
766,DAN,Dana Inc
767,DAO,Youdao Inc ADR
768,DAR,Darling International Inc
769,DAVA,Endava Plc
770,DB,Deutsche Bank Ag
771,DBD,Diebold Nixdorf Inc
772,DBI,Designer Brands Inc
773,DBL,Doubleline Opportunistic Credi
774,DCF,Dreyfus Alcentra Global Credit Income 2024 Targe
775,DCI,Donaldson Company
776,DCO,Ducommun Inc
777,DCP,Dcp Midstream LP
778,DCP-B,Dcp Midstream LP [Dcp/Pb]
779,DCP-C,Dcp Midstream LP [Dcp/Pc]
780,DCUE,Dominion Energy Inc 2019 Series A
781,DD,Du Pont De.Nemours Inc
782,DDD,3D Systems Corp
783,DDF,Delaware Dividend & Income
784,DDS,Dillard's
785,DDT,Dillard's
786,DE,Deere & Company
787,DEA,Easterly Government Properties
788,DECK,Deckers Outdoor Corp
789,DEI,Douglas Emmett
790,DELL,Dell Technologies Inc
791,DEO,Diageo Plc
792,DESP,Despegar.com Corp
793,DEX,Delaware Enhanced Global Dividend
794,DFIN,Donnelly Financial Solutions Inc
795,DFN.U,LGL Systems Acquisition Corporation [Dfns.U]
796,DFNS,LGL Systems Acquisition Corp
797,DFP,Flaherty & Crumrine Dynamic
798,DFS,Discover Financial Services
799,DG,Dollar General Corp
800,DGX,Quest Diagnostics Inc
801,DHF,Dreyfus High Yield Strategies Fund
802,DHI,D.R. Horton
803,DHR,Danaher Corp
804,DHR-A,Danaher Corp [Dhr/Pa]
805,DHT,Dht Holdings
806,DHX,Dice Holdings
807,DIAX,Nuveen Dow
808,DIN,Dineequity Inc
809,DIS,Walt Disney Company
810,DK,Delek US Holdings
811,DKL,Delek Logistics Partners LP
812,DKS,Dick's Sporting Goods Inc
813,DL,China Distance Education Holdings
814,DLB,Dolby Laboratories
815,DLN-A,Dynagas Lng Partners LP [Dlng/Pa]
816,DLN-B,Dynagas Lng Partners LP [Dlng/Pb]
817,DLNG,Dynagas Lng Partners LP
818,DLPH,Delphi Technologies Plc
819,DLR,Digital Realty Trust
820,DLR-C,Digital Rlty TR Inc [Dlr/Pc]
821,DLR-G,Digital Rlty TR Inc [Dlr/Pg]
822,DLR-I,Digital Rlty TR Inc [Dlr/Pi]
823,DLR-J,Digital Rlty TR Inc [Dlr/Pj]
824,DLR-K,Digital Rlty TR Inc [Dlr/Pk]
825,DLR-L,Digital Realty Trust Inc 5.20% Prf Perpetual USD
826,DLX,Deluxe Corp
827,DLY,Doubleline Yield Opportunities Fund Common Share
828,DMB,Dreyfus Municipal Bond Infrastr
829,DMO,Western Asset Mortgage Defined Opp
830,DMY.U,Dmy Technology Group Inc [Dmyt.U]
831,DNI,Chartwell Dividend & Income Fund
832,DNK,Phoenix Tree Holdings Limited American Depositar
833,DNOW,Now Inc
834,DNP,Duff & Phelps Utilities Income
835,DNR,Denbury Resources
836,DO,Diamond Offshore Drilling
837,DOC,Physicians Realty Trust
838,DOOR,Masonite Worldwide Hld
839,DOV,Dover Corp
840,DOW,Dow Inc
841,DPG,Duff & Phelps Global Utility
842,DPZ,Domino's Pizza Inc
843,DQ,Daqo New Energy
844,DRD,Drdgold Ltd
845,DRE,Duke Realty Corp
846,DRH,Diamondrock Hospitality Company
847,DRI,Darden Restaurants
848,DRQ,Dril-Quip
849,DRUA,Dominion Resources Inc
850,DS,Drive Shack Inc
851,DS-B,Drive Shack Inc [Ds/Pb]
852,DS-C,Drive Shack Inc [Ds/Pc]
853,DS-D,Drive Shack Inc [Ds/Pd]
854,DSE,Duff & Phelps Select Energy ML
855,DSL,Doubleline Income Solutions Fun
856,DSM,Dreyfus Strategic Muni Bond Fund
857,DSSI,Diamond S Shipping Inc
858,DSU,Blackrock Debt Strategies Fund
859,DSX,Diana Shipping Inc
860,DSX-B,Diana Shipping Inc [Dsx/Pb]
861,DT,Dynatrace Inc
862,DTE,Dte Energy Company
863,DTF,Duff & Phelps Utilities Tax-Free Income
864,DTJ,Dte Energy Company 2016 Series
865,DTL.P,Brookfield Dtla Fd Office TR I [Dtla/P]
866,DTP,Dte Energy Co. Units
867,DTQ,Dte Energy Company Sub Deb 62
868,DTW,Dte Energy Company 2017 Series E 5.25% Jr
869,DTY,Dignity Plc
870,DUC,Duff & Phelps Utility & Corporate Trust
871,DUK,Duke Energy Corp
872,DUK-A,Duke Energy Corp [Duk/Pa]
873,DUKB,Duke Energy Corp 5.625%
874,DUKH,Duke Energy Corp 5.125%
875,DVA,Davita Healthcare Partners Inc
876,DVD,Dover Downs Entertainment
877,DVN,Devon Energy Corp
878,DX,Dynex Capital
879,DX-A,Dynex Cap Inc [Dx/Pa]
880,DX-B,Dynex Cap Inc [Dx/Pb]
881,DX-C,Dynex Capital Inc.
882,DXB,Deutsche Bk Contingent Cap TR
883,DXC,Dxc Technology Company
884,DY,Dycom Industries
885,E,Eni S.P.A.
886,EAB,First Mortgage Bonds
887,EAE,Entergy Arkansas Inc
888,EAF,Graftech International Ltd
889,EAI,Entergy Arkansas Inc
890,EARN,Ellington Residential Mortgage
891,EAT,Brinker International
892,EB,Eventbrite Inc
893,EBF,Ennis Inc
894,EBR,Centrais Electricas Brazil
895,EBR.B,Centrais Eletricas Brasileiras ADR
896,EBS,Emergent Biosolutions
897,EC,Ecopetrol S.A.
898,ECC,Eagle Point Credit Co. Inc
899,ECCB,Eagle Point Credit Company Inc
900,ECCX,Eagle Point Credit Company Inc 6.6875% Notes Du
901,ECCY,Eagle Point Credit Company Inc
902,ECL,Ecolab Inc
903,ECOM,Channeladvisor Corp
904,ECT,Eca Marcellus Trust
905,ED,Consolidated Edison Company of New York
906,EDD,Emerging Markets Domestic Debt Fund
907,EDF,Stone Harbor Emerging Markets
908,EDI,Stone Harbor Emerging Markets
909,EDN,Empresa Distribuidora Y Comercializadora
910,EDU,New Oriental Education & Technology Group
911,EE,El Paso Electric Company
912,EEA,European Equity Fund
913,EEX,Emerald Expositions Events Inc
914,EFC,Ellington Financial Llc
915,EFC-A,Ellington Financial Inc Pfd.
916,EFF,Eaton Vance Floating-Rate Inco
917,EFL,Eaton Vance Floating-Rate 2022 Target Term Trust
918,EFR,Eaton Vance Senior Floating-Rate Fund
919,EFT,Eaton Vance Floating Rate Income Trust
920,EFX,Equifax Inc
921,EGF,Blackrock Enhanced Government Fund
922,EGHT,8X8 Inc
923,EGIF,Eagle Growth and Income Opportunity
924,EGO,Eldorado Gold Corp
925,EGP,Eastgroup Properties
926,EGY,Vaalco Energy Inc
927,EHC,Encompass Health Corp
928,EHI,Western Asset Global High
929,EHT,Eaton Vance High Income 2021 Ta
930,EIC,Eagle Point Income Company Inc
931,EIG,Employers Holdings Inc
932,EIX,Edison International
933,EL,Estee Lauder Companies
934,ELAN,Elanco Animal Health Inc
935,ELAT,Elanco Animal Health Inc Units [ Purchase Contra
936,ELC,Entergy Louisiana Llc
937,ELF,E.L.F. Beauty Inc
938,ELJ,Entergy Louisiana Llc
939,ELP,Companhia Paranaense DE Energia
940,ELS,Equity Lifestyle Properties
941,ELU,Entergy Louisiana Llc First M
942,ELVT,Elevate Credit Inc
943,ELY,Callaway Golf Company
944,EMD,Western Asset Emerging Market Debt Fund Inc
945,EME,Emcor Group
946,EMF,Templeton Emerging Markets Fund
947,EMN,Eastman Chemical Company
948,EMO,Clearbridge Energy MLP Opportu
949,EMP,Entergy Mississippi Inc 4.9% Bonds
950,EMR,Emerson Electric Company
951,ENB,Enbridge Inc
952,ENBA,Enbridge Inc 6.375% Fixed-To-Floating Rate
953,ENBL,Enable Midstream Partners LP
954,ENIA,Enersis Americas S.A. American
955,ENIC,Enersis Chile S.A. ADR
956,ENJ,Entergy New Orleans Inc
957,ENLC,Enlink Midstream Llc
958,ENO,Entergy New Orleans Incfirst
959,ENR,Energizer Holdings Inc
960,ENR-A,Energizer Holdings Inc [Enr/Pa]
961,ENS,Enersys Inc
962,ENV,Envestnet Inc
963,ENVA,Enova International Inc
964,ENZ,Enzo Biochem
965,EOD,Wells Fargo Global Dividend Opportunity
966,EOG,Eog Resources
967,EOI,Eaton Vance Enhance Equity
968,EOS,Eaton Vance Enhanced Equity II
969,EOT,Eaton Vance Muni Income Trust
970,EP-C,El Paso Energy Capital [Ep/Pc]
971,EPAC,Actuant Corp
972,EPAM,Epam Systems Inc
973,EPC,Edgewell Personal Care
974,EPD,Enterprise Products Partners LP
975,EPR,Entertainment Properties Trust
976,EPR-C,Epr Pptys [Epr/Pc]
977,EPR-E,Epr Pptys [Epr/Pe]
978,EPR-G,Epr Pptys [Epr/Pg]
979,EPRT,Essential Properties Realty Trust Inc
980,EQC,Equity Commonwealth
981,EQC-D,Equity Comwlth [Eqc/Pd]
982,EQH,Axa Equitable Holdings Inc
983,EQH-A,Axa Equitable Holdings Inc 5.25% Prf Perpetual U
984,EQM,Eqm Midstream Partners LP
985,EQNR,Equinor ASA
986,EQR,Equity Residential
987,EQS,Equus Total Return
988,EQT,Eqt Corp
989,ERA,Era Group Inc
990,ERF,Enerplus Corp
991,ERJ,Embraer-Empresa Brasileira DE Aeronautica
992,EROS,Eros International Plc
993,ES,Eversource Energy
994,ESE,Esco Technologies Inc
995,ESI,Element Solutions Inc
996,ESNT,Essent Group Ltd
997,ESRT,Empire State Realty Trust Inc
998,ESS,Essex Property Trust
999,ESTC,Elastic N.V.
1000,ESTE,Earthstone Energy
1001,ET,Energy Transfer LP
1002,ETB,Eaton Vance Tax-Managed Buy-Write
1003,ETG,Eaton Vance Tax-Advantaged Global Dividend
1004,ETH,Ethan Allen Interiors Inc
1005,ETI.P,Entergy Texas Inc 5.375% Series A Preferred Stoc
1006,ETJ,Eaton Vance Risk-Managed Diversified Equity
1007,ETM,Entercom Communications Corp
1008,ETN,Eaton Corp
1009,ETO,Eaton Vance Tax-Advantage Global Dividend Opp
1010,ETP-C,Energy Transfer Operating L P [Etp/Pc]
1011,ETP-D,Energy Transfer Operating L P [Etp/Pd]
1012,ETP-E,Energy Transfer Operating L P [Etp/Pe]
1013,ETR,Entergy Corp
1014,ETRN,Equitrans Midstream Corp
1015,ETV,Eaton Vance Corp
1016,ETW,Eaton Vance Corp
1017,ETX,Eaton Vance Municipal Income T
1018,ETY,Eaton Vance Tax-Managed Diversified Equity
1019,EURN,Euronav NV
1020,EV,Eaton Vance Corp
1021,EVA,Enviva Partners LP
1022,EVC,Entravision Communications Corp
1023,EVF,Eaton Vance Senior Income Trust
1024,EVG,Eaton Vance Short Diversified
1025,EVH,Evolent Health Inc Cl A Com
1026,EVN,Eaton Vance Muni Income Trust
1027,EVR,Evercore Partners Inc
1028,EVRG,Evergy Inc
1029,EVRI,Everi Holdings Inc
1030,EVT,Eaton Vance Tax Advantaged Dividend
1031,EVTC,Evertec Inc
1032,EW,Edwards Lifesciences Corp
1033,EXD,Eaton Vance Tax-Advantaged Bond
1034,EXG,Eaton Vance Tax-Managed Global Diversified Equit
1035,EXK,Endeavour Silver Corp
1036,EXP,Eagle Materials Inc
1037,EXPR,Express Inc
1038,EXR,Extra Space Storage Inc
1039,EXTN,Exterran Corp
1040,EZT,First Mortgage Bonds
1041,F,Ford Motor Company
1042,F-B,Ford Mtr Co. Del [F/Pb]
1043,F-C,Ford Motor Company 6% Notes Due December 1 2059
1044,FAF,First American Corp
1045,FAM,First Trust/Aberdeen Global Opportunity
1046,FBC,Flagstar Bancorp
1047,FBHS,Fortune Brands Home & Security
1048,FBK,Fb Financial Corp
1049,FBM,Foundation Building Materials Inc
1050,FBP,First Bancorp
1051,FC,Franklin Covey Company
1052,FCAU,Fiat Chrysler Automobiles N.V.
1053,FCF,First Commonwealth Financial Corp
1054,FCN,Fti Consulting
1055,FCPT,Four Corners Property Trust IN
1056,FCT,Senior Floating Rate II
1057,FCX,Freeport-Mcmoran Inc
1058,FDEU,First Trust Dynamic Europe Equi
1059,FDP,Fresh Del Monte Produce
1060,FDS,Factset Research Systems Inc
1061,FDX,Fedex Corp
1062,FE,Firstenergy Corp
1063,FEA.U,Flying Eagle Acquisition Corp [Feac.U]
1064,FEDU,Four Seasons Education [Cayman] Inc
1065,FEI,First Trust MLP and Energy Inc
1066,FENG,Phoenix New Media Ltd
1067,FEO,First Trust/Aberdeen Emerging Opportunity Fund
1068,FET,Forum Energy Technologies Inc
1069,FF,Futurefuel Corp
1070,FFA,First Trust Enhanced Equity Income Fund
1071,FFC,Flaherty Crumrine/Claymore Preferred Securities
1072,FFG,Fbl Financial Group
1073,FG,Fgl Holdings
1074,FG.W,Fgl Holdings WT [Fg/W]
1075,FGB,Specialty Finance and Financial Fund
1076,FHI,Federated Investors
1077,FHN,First Horizon National Corp
1078,FHN-A,First Horizon National Corp [Fhn/Pa]
1079,FI,Frank's International N.V.
1080,FICO,Fair Isaac and Company Inc
1081,FIF,First Trust Energy Infrastruct
1082,FINS,Angel Oak Financial Strategies Income Term Trust
1083,FINV,Finvolution Group
1084,FIS,Fidelity National Information Services
1085,FIT,Fitbit Inc
1086,FIV,First Trust Senior Floating Rate 2022 Target Ter
1087,FIX,Comfort Systems USA
1088,FL,Footlocker Inc
1089,FLC,Flaherty & Crumrine/Claymore Total Return
1090,FLNG,Flex Lng Ltd
1091,FLO,Flowers Foods
1092,FLOW,SPX Flow Inc
1093,FLR,Fluor Corp
1094,FLS,Flowserve Corp
1095,FLT,Fleetcor Technologies
1096,FLY,Fly Leasing Ltd
1097,FMC,FMC Corp
1098,FMN,Federated Premier Muni
1099,FMO,Fiduciary/Claymore MLP Opportunity Fund
1100,FMS,Fresenius Medical Care Corp
1101,FMX,Fomento Economico Mexicano S.A.B. DE C.V.
1102,FMY,First Trust/Fidac Mortgage Income Fund
1103,FN,Fabrinet
1104,FNB,F.N.B. Corp
1105,FNB-E,Fnb Corp Florida [Fnb/Pe]
1106,FND,Floor & Decor Holdings Inc
1107,FNF,Fidelity National Financial
1108,FNV,Franco Nev Corp
1109,FOE,Ferro Corp
1110,FOF,Cohen & Steers Closed-End Opportunity Fund
1111,FOR,Forestar Group Inc
1112,FPA.U,Far Pt Acquisition Corp [Fpac.U]
1113,FPA.W,Far Point Acquisition Cl A WT
1114,FPAC,Far Point Acquisition Corp Cl A
1115,FPF,First Trust Intermediate Durat
1116,FPH,Five Point Holdings Llc Cl A
1117,FPI,Farmland Partners Inc
1118,FPI-B,Farmland Partners Inc [Fpi/Pb]
1119,FPL,First Trust New Opportunities M
1120,FR,First Industrial Realty Trust
1121,FRA,Blackrock Floating Rate Income Fund
1122,FRC,First Republic Bank
1123,FRC-F,First Republic Bank San Francisco [Frc/Pf]
1124,FRC-G,First Republic Bank San Francisco [Frc/Pg]
1125,FRC-H,First Republic Bank San Francisco [Frc/Ph]
1126,FRC-I,First Rep Bk San Francisco [Frc/Pi]
1127,FRC-J,First Republic Bank Prf Perpetual USD Dp Sh Rp1/
1128,FRO,Frontline Ltd
1129,FRT,Federal Realty Investment Trust
1130,FRT-C,Federal Realty Invt TR [Frt/Pc]
1131,FSB,Franklin Financial Network Inc
1132,FSD,High Income Long Short Fund
1133,FSK,FS KKR Capital Corp
1134,FSLY,Fastly Inc
1135,FSM,Fortuna Silver Mines
1136,FSS,Federal Signal Corp
1137,FT,Franklin Universal Trust
1138,FTA-A,Fortress Transportation and Infrastructure Inves
1139,FTA-B,Fortress Transportation and Infrastructure Inves
1140,FTAI,Fortress Transportation & Infra
1141,FTCH,Farfetch Ltd Cl A
1142,FTI,Technipfmc Plc
1143,FTK,Flotek Industries
1144,FTS,Fortis Inc
1145,FTSI,Fts International Inc
1146,FTV,Fortive Corp
1147,FTV-A,Fortive Corp [Ftv/Pa]
1148,FUL,H. B. Fuller Company
1149,FUN,Cedar Fair LP
1150,FVRR,Fiverr International Ltd
1151,G,Genpact Ltd
1152,GAB,Gabelli Equity Trust
1153,GAB-G,Gabelli Equity Trust Inc [Gab/Pg]
1154,GAB-H,Gabelli Equity Trust Inc [Gab/Ph]
1155,GAB-J,Gabelli Equity Trust Inc [Gab/Pj]
1156,GAB-K,Gabelli Equity Trust Inc 5% Prf Perpetual USD 25
1157,GAM,General American Investors
1158,GAM-B,General Amern Invs Inc [Gam/Pb]
1159,GATX,GATX Corp
1160,GBAB,Guggenheim Build America Bonds
1161,GBL,Gamco Investors
1162,GBX,Greenbrier Companies
1163,GCAP,Gain Capital Holdings
1164,GCI,Gannett Co. Inc.
1165,GCO,Genesco Inc
1166,GCP,Gcp Applied Technologies Inc C
1167,GCV,Gabelli Convertible and Income Securities
1168,GD,General Dynamics Corp
1169,GDDY,Godaddy Inc
1170,GDL,The Gdl Fund
1171,GDL-C,Gdl Fund [Gdl/Pc]
1172,GDO,Western Asset Global Corporate Defined
1173,GDOT,Green Dot Corp
1174,GDV,Gabelli Dividend
1175,GDV-A,Gabelli Dividend & Income Trust [Gdv/Pa]
1176,GDV-G,Gabelli Dividend & Income Trust [Gdv/Pg]
1177,GDV-H,Gabelli Dividend & Income Trust [Gdv/Ph]
1178,GE,General Electric Company
1179,GEF,Greif Bros. Corp
1180,GEF.B,Greif Bros. Corp Cl B
1181,GEL,Genesis Energy LP
1182,GEN,Genesis Healthcare Inc
1183,GEO,Geo Group Inc
1184,GER,Goldman Sachs MLP Energy Renai
1185,GES,Guess Inc
1186,GF,New Germany Fund
1187,GFF,Griffon Corp
1188,GFI,Gold Fields Ltd
1189,GFL,Gfl Environmental Inc
1190,GFLU,Gfl Environmental Inc Tangible Equity Units
1191,GFY,Western Asset Variable Rate Strategic
1192,GGB,Gerdau S.A.
1193,GGG,Graco Inc
1194,GGM,Guggenheim Credit Allocation F
1195,GGT,Gabelli Global Multi-Media Trust
1196,GGT-E,Gabelli Multimedia Trust Inc [Ggt/Pe]
1197,GGT-G,Gabelli Multimedia Trust Inc 5.125% Prf Perpetua
1198,GGZ,Gabelli Global Small and Mid CA
1199,GGZ-A,Gabelli Global Small & Mid Cap Val [Ggz/Pa]
1200,GHC,Graham Holdings Company
1201,GHG,Greentree Hospitality Group Ltd ADR
1202,GHL,Greenhill & Co. Inc
1203,GHM,Graham Corp
1204,GHY,Prudential Global Short Durati
1205,GIB,CGI Group
1206,GIL,Gildan Activewear
1207,GIM,Templeton Global
1208,GIS,General Mills
1209,GIX,Gigcapital2 Inc
1210,GIX.P,Gigcapital2 Inc [Gix/R]
1211,GIX.U,Gigcapital2 Inc
1212,GIX.W,Gigcapital2 Inc WT [Gix/W]
1213,GJH,Strats Sm Trust For United States Cellular Corp
1214,GJO,Strats Sm Trust For Wal-Mart Stores Inc Securiti
1215,GJP,Strats Sm Trust For Dominion Resources Inc Secur
1216,GJR,Strats Sm Trust For The Procter & Gamble Co. Sec
1217,GJS,Strats Sm Trust For Goldman Sachs Group Securiti
1218,GJT,Strats Sm Trust For Allstate Corp Securities Ser
1219,GKOS,Glaukos Corp
1220,GL,Globe Life Inc
1221,GL-C,Globe Life Inc [Gl/Pc]
1222,GLE.U,Galileo Acquisition Corp [Gleo.U]
1223,GLE.W,Galileo Acquisition Corp [Gleo/W]
1224,GLEO,Galileo Acquisition Corp
1225,GLO-A,Gaslog Partners LP [Glop/Pa]
1226,GLO-B,Gaslog Partners LP [Glop/Pb]
1227,GLO-C,Gaslog Partners LP [Glop/Pc]
1228,GLO-G,Gaslog Ltd [Glog/Pa]
1229,GLOB,Globant S.A.
1230,GLOG,Gaslog Ltd
1231,GLOP,Gaslog Partners LP
1232,GLP,Global Partners LP
1233,GLP-A,Global Partners LP [Glp/Pa]
1234,GLT,Glatfelter
1235,GLW,Corning Inc
1236,GM,General Motors Company
1237,GME,Gamestop Corp
1238,GMED,Globus Medical Inc
1239,GMR-A,Global Med REIT Inc [Gmre/Pa]
1240,GMRE,Global Medical REIT Inc
1241,GMS,Gms Inc
1242,GMTA,GATX Corp 5.625% Senior
1243,GMZ,Goldman Sachs MLP Income Oppor
1244,GNC,GNC Holdings Inc
1245,GNE,Genie Energy Ltd Cl B
1246,GNE-A,Genie Energy Ltd [Gne/Pa]
1247,GNK,Genco Shipping & Trading Ltd
1248,GNL,Global Net Lease Inc
1249,GNL-A,Global Net Lease Inc [Gnl/Pa]
1250,GNL-B,Global Net Lease Inc 6.875% Prf Perpetual USD 25
1251,GNRC,Generac Holdings Inc
1252,GNT,Gabelli Natural Resources Gold
1253,GNT-A,Gamco Nat Res Gold & Income TR [Gnt/Pa]
1254,GNW,Genworth Financial Inc
1255,GOF,Claymore/Guggenheim Strategic Fund
1256,GOL,Gol Linhas Aereas Inteligentes S.A.
1257,GOLD,Barrick Gold Corp
1258,GOLF,Acushnet Holdings Corp
1259,GOOS,Canada Goose Holdings Inc Subordinate Voting Sh
1260,GPC,Genuine Parts Company
1261,GPI,Group 1 Automotive
1262,GPJA,Georgia Power Company Series 2017A 5.00% Jr
1263,GPK,Graphic Packaging Holding Company
1264,GPM,Guggenheim Enhanced Equity
1265,GPMT,Granite Point Mortgage Trust Inc
1266,GPN,Global Payments Inc
1267,GPRK,Geopark Hlds Lmtd
1268,GPS,Gap Inc
1269,GPX,Gp Strategies Corp
1270,GRA,W.R. Grace & Company
1271,GRA.U,Graf Indl Corp [Graf.U]
1272,GRA.W,Graf Indl Corp WT [Graf/W]
1273,GRAF,Graf Industrial Corp
1274,GRAM,Grana Y Montero S.A.A.
1275,GRC,Gorman-Rupp Company
1276,GRP.U,Granite Real Estate Invt TR
1277,GRUB,Grubhub Inc
1278,GRX,The Gabelli Healthcare & Wellness Trust
1279,GRX-A,Gabelli Healthcare & Wellness TR [Grx/Pa]
1280,GRX-B,Gabelli Healthcare & Wellness TR [Grx/Pb]
1281,GS,Goldman Sachs Group
1282,GS-A,Goldman Sachs Group Inc [Gs/Pa]
1283,GS-C,Goldman Sachs Group Inc [Gs/Pc]
1284,GS-D,Goldman Sachs Group Inc [Gs/Pd]
1285,GS-J,Goldman Sachs Group Inc [Gs/Pj]
1286,GS-K,Goldman Sachs Group Inc [Gs/Pk]
1287,GS-N,Goldman Sachs Group Inc [Gs/Pn]
1288,GSBD,Goldman Sachs Bdc Inc
1289,GSH,Guangshen Railway
1290,GSK,Glaxosmithkline Plc
1291,GSL,Global Ship Lease Inc
1292,GSL-B,Global Ship Lease Inc [Gsl/Pb]
1293,GSLD,Global Ship Lease Inc 8.00% Senior Notes Due 20
1294,GSX,Gsx Techedu Inc ADR
1295,GTES,Gates Industrial Corp Plc
1296,GTN,Gray Television
1297,GTN.A,Gray Television Inc Cl A
1298,GTS,Triple-S Management Corp
1299,GTT,Global Telcom & Technology Inc
1300,GTX,Garrett Motion Inc
1301,GTY,Getty Realty Corp
1302,GUT,Gabelli Utility Trust
1303,GUT-A,Gabelli Utility Trust [Gut/Pa]
1304,GUT-C,Gabelli Utility Trust [Gut/Pc]
1305,GVA,Granite Construction Inc
1306,GWB,Great Western Bancorp Inc
1307,GWRE,Guidewire Software Inc
1308,GWW,W.W. Grainger
1309,GYC,Corporate Asset Backed Corp Cabco
1310,H,Hyatt Hotels Corp
1311,HAE,Haemonetics Corp
1312,HAL,Halliburton Company
1313,HASI,Hannon Armstrong Sustainable IN
1314,HBB,Hamilton Beach Brands Holding Company Cl A
1315,HBI,Hanesbrands Inc
1316,HBM,Hudbay Minerals Inc
1317,HCA,Hca Holdings Inc
1318,HCC,Warrior Met Coal Inc
1319,HCFT,Hunt Companies Finance Trust Inc
1320,HCHC,Hc2 Holdings Inc
1321,HCI,Homeowners Choice
1322,HCR,Hi-Crush Inc
1323,HCXY,Hercules Capital Inc 6.25% Notes Due 2033
1324,HCXZ,Hercules Capital Inc 5.25% Notes Due 2025
1325,HD,Home Depot
1326,HDB,Hdfc Bank Ltd
1327,HE,Hawaiian Electric Industries
1328,HEI,Heico Corp
1329,HEI.A,Heico Cp Cl A
1330,HEP,Holly Energy Partners LP
1331,HEQ,John Hancock Hedged Eqty & Inc
1332,HES,Hess Corp
1333,HESM,Hess Midstream Partners LP
1334,HEXO,Hexo Corp
1335,HFC,Hollyfrontier Corp
1336,HFR-A,Highland Income Fund [Hfro/Pa]
1337,HFRO,Highland Floating Rate Opportunities Fund
1338,HGH,The Hartford Financial Srvcs G
1339,HGLB,Highland Global Allocation Fund
1340,HGV,Hilton Grand Vacations Inc
1341,HHC,Howard Hughes Corp
1342,HHS,Harte-Hanks
1343,HI,Hillenbrand Inc
1344,HIE,Miller/Howard High Income Eqty
1345,HIG,Hartford Financial Services Group
1346,HIG-G,Hartford Financial Services Grp Inc [Hig/Pg]
1347,HII,Huntington Ingalls Industries
1348,HIL,Hill International Inc
1349,HIO,Western Asset High
1350,HIW,Highwoods Properties
1351,HIX,Western Asset High Income Fund II Inc
1352,HJV,MS S.A.C. Saturns Ge Series 2002-14
1353,HKIB,Amtd International Inc
1354,HL,Hecla Mining Company
1355,HL-B,Hecla Mining Co. [Hl/Pb]
1356,HLF,Herbalife Ltd
1357,HLI,Houlihan Lokey
1358,HLT,Hilton Inc
